age,workclass,education,marital-status,occupation,race,hours-per-week,Salary
52, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, White,45, >50K
31, Private, Masters, Never-married, Prof-specialty, White,50, >50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, White,40, >50K
37, Private, Some-college, Married-civ-spouse, Exec-managerial, Black,80, >50K
30, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Asian-Pac-Islander,40, >50K
40, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Asian-Pac-Islander,40, >50K
43, Self-emp-not-inc, Masters, Divorced, Exec-managerial, White,45, >50K
40, Private, Doctorate, Married-civ-spouse, Prof-specialty, White,60, >50K
56, Local-gov, Bachelors, Married-civ-spouse, Tech-support, White,40, >50K
54, ?, Some-college, Married-civ-spouse, ?, Asian-Pac-Islander,60, >50K
31, Private, Some-college, Married-civ-spouse, Sales, White,38, >50K
57, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Black,40, >50K
47, Private, Prof-school, Married-civ-spouse, Prof-specialty, White,60, >50K
50, Federal-gov, Bachelors, Divorced, Exec-managerial, White,55, >50K
43, Private, Some-college, Married-civ-spouse, Tech-support, White,40, >50K
42, Private, Doctorate, Married-civ-spouse, Prof-specialty, White,45, >50K
53, Private, HS-grad, Married-civ-spouse, Adm-clerical, White,40, >50K
49, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, White,50, >50K
29, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, White,70, >50K
44, Private, HS-grad, Divorced, Craft-repair, White,40, >50K
49, Local-gov, HS-grad, Married-civ-spouse, Protective-serv, White,40, >50K
43, Federal-gov, Doctorate, Never-married, Prof-specialty, White,50, >50K
34, Local-gov, Bachelors, Married-civ-spouse, Protective-serv, White,40, >50K
48, Self-emp-not-inc, Doctorate, Married-civ-spouse, Prof-specialty, White,60, >50K
37, Private, Some-college, Married-civ-spouse, Sales, White,48, >50K
76, Private, Masters, Married-civ-spouse, Exec-managerial, White,40, >50K
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, White,60, >50K
32, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, White,40, >50K
38, Private, Prof-school, Married-civ-spouse, Prof-specialty, White,40, >50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, White,50, >50K
49, Local-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Black,40, >50K
29, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, White,50, >50K
